Chem_Name,CASno,SMILES,Molecular_formula
Ethylene Oxide,75-21-8,C1CO1,C2H4O
Ethylenediamine,107-15-3,C(CN)N,C2H8N2
Ethyleneimine,151-56-4,C1CN1,C2H5N
Ethylphenyldichlorosilane,1125-27-5,CC[Si](C1=CC=CC=C1)(Cl)Cl,C8H10Cl2Si
Ferric Chloride,7705-08-0,Cl[Fe](Cl)Cl,Cl3Fe
Fluorine,7782-41-4,FF,F2
Fluosilicic Acid,16961-83-4,F.F.F[Si](F)(F)F,F6H2Si
Formaldehyde,50-00-0,C=O,CH2O
Formamide,1975-12-07,C(=O)N,CH3NO
Formic Acid,64-18-6,C(=O)O,CH2O2
Furan,110-00-9,C1=COC=C1,C4H4O
Furfuryl Alcohol,98-00-0,C1=COC(=C1)CO,C5H6O2
Glutaraldehyde,111-30-8,C(CC=O)CC=O,C5H8O2
Heptachlor,76-44-8,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,C10H5Cl7
"Hexachloro-1,3-butadiene",87-68-3,C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl,C4Cl6
Hexachlorobenzene,118-74-1,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,C6Cl6
Hexachlorocyclopentadiene,77-47-4,C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl,C5Cl6
Hexachloroethane,67-72-1,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,C2Cl6
Hexamethylene Diamine,124-09-4,C(CCCN)CCN,C6H16N2
Hydrazine,302-01-2,NN,H4N2
Hydrogen,1333-74-0,[HH],H2
Hydrogen Bromide,10035-10-6,Br,BrH
Hydrogen Chloride,7647-01-0,Cl,ClH
Hydrogen cyanide,74-90-8,C#N,CHN
Hydrogen fluoride,7664-39-3,F,FH
Hydrogen Iodide,10034-85-2,I,HI
Hydrogen peroxide,7722-84-1,OO,H2O2
Hydrogen Sulfide,7783-06-04,S,H2S
"Iodine, Elemental",7553-56-2,II,I2
Iron pentacarbonyl,13463-40-6,[C]=O.[C]=O.[C]=O.[C]=O.[C]=O.[Fe],C5FeO5
Isobutane,75-28-5,CC(C)C,C4H10
Isobutyl Acetate,110-19-0,CC(C)COC(=O)C,C6H12O2
Isobutylene,115-11-7,CC(=C)C,C4H8
Isopentane,78-78-4,CCC(C)C,C5H12
Isoprene,78-79-5,CC(=C)C=C,C5H8
Isopropanol,67-63-0,CC(C)O,C3H8O
Isopropylamine,75-31-0,CC(C)N,C3H9N
Isopropylbenzene,98-82-8,CC(C)C1=CC=CC=C1,C9H12
Isosafrole,120-58-1,CC=CC1=CC2=C(C=C1)OCO2,C10H10O2
Kepone,143-50-0,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,C10Cl10O
Lead Acetate,301-04-2,CC(=O)[O-].CC(=O)[O-].[Pb+2],C4H6O4Pb
"Lead, elemental",7439-92-1,[Pb],Pb
Lewisite,541-25-3,C(=C[As](Cl)Cl)Cl,C2H2AsCl3
Lindane,58-89-9,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,C6H6Cl6
Lithium Aluminum Hydride,16853-85-3,[Li+].[AlH4-],AlH4Li
Lithium Hydride,7580-67-8,[H-].[Li+],HLi
"Lithium, Elemental",7439-93-2,[Li],Li
Lsd,50-37-3,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,C20H25N3O
Magnesium Perchlorate,10034-81-8,[O-]Cl(=O)(=O)=O.[O-]Cl(=O)(=O)=O.[Mg+2],Cl2MgO8
"Magnesium, Elemental",7439-95-4,[Mg],Mg
Malathion,121-75-5,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,C10H19O6PS2
"Manganese, Elemental",7439-96-5,[Mn],Mn
Mechlorethamine,51-75-2,CN(CCCl)CCCl,C5H11Cl2N
Mercuric Chloride,7487-94-7,Cl[Hg]Cl,Cl2Hg
Mercuric Nitrate,10045-94-0,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Hg+2],HgN2O6
Mercurous Nitrate,10415-75-5,[N+](=O)([O-])[O-].[Hg+],HgNO3
"Mercury, Elemental",7439-97-6,[Hg],Hg
Mesityl Oxide,141-79-7,CC(=CC(=O)C)C,C6H10O
Methacrolein,78-85-3,CC(=C)C=O,C4H6O
Methacrylic Acid,79-41-4,CC(=C)C(=O)O,C4H6O2
Methane,74-82-8,C,CH4
Methanol,67-56-1,CO,CH4O
Methomyl,16752-77-5,CC(=NOC(=O)NC)SC,C5H10N2O2S
Methoxychlor,72-43-5,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl,C16H15Cl3O2
Methyl acrylate,96-33-3,COC(=O)C=C,C4H6O2
Methyl Bromide,74-83-9,CBr,CH3Br
Methyl Chloride,74-87-3,CCl,CH3Cl
Methyl Ethyl Ketone,78-93-3,CCC(=O)C,C4H8O
Methyl Formate,107-31-3,COC=O,C2H4O2
Methyl isobutyl ketone,108-10-1,CC(C)CC(=O)C,C6H12O
Methyl Isocyanate,624-83-9,CN=C=O,C2H3NO
Methyl Isothiocyanate,556-61-6,CN=C=S,C2H3NS
Methyl Mercaptan,74-93-1,CS,CH4S
Methyl methacrylate,80-62-6,CC(=C)C(=O)OC,C5H8O2
Methyl N-Butyrate,623-42-7,CCCC(=O)OC,C5H10O2
Methyl Parathion,298-00-0,COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],C8H10NO5PS
Methyl Vinyl Ketone,78-94-4,CC(=O)C=C,C4H6O
Methylacrylonitrile,126-98-7,CC(=C)C#N,C4H5N
Methylamine,74-89-5,CN,CH5N
Methylhydrazine,60-34-4,CNN,CH6N2
Methylpyridines,1333-41-1,CC1=CC=CC=N1,C6H7N
Methyltrichlorosilane,75-79-6,C[Si](Cl)(Cl)Cl,CH3Cl3Si
Morpholine,110-91-8,C1COCCN1,C4H9NO
"N,N-Dimethylacetamide",127-19-5,CC(=O)N(C)C,C4H9NO
"N,N-Dimethylformamide",1968-12-02,CN(C)C=O,C3H7NO
Naphthalene,91-20-3,C1=CC=C2C=CC=CC2=C1,C10H8
n-Butane,106-97-8,CCCC,C4H10
n-Butyl acetate,123-86-4,CCCCOC(=O)C,C6H12O2
n-Butyl acrylate,141-32-2,CCCCOC(=O)C=C,C7H12O2
n-Butyl Alcohol,71-36-3,CCCCO,C4H10O
n-Butylamine,109-73-9,CCCCN,C4H11N
n-Butyric Acid,107-92-6,CCCC(=O)O,C4H8O2
n-Ethylaniline,103-69-5,CCNC1=CC=CC=C1,C8H11N
n-Heptane,142-82-5,CCCCCCC,C7H16
n-Hexane,110-54-3,CCCCCC,C6H14
Nickel Carbonyl,13463-39-3,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Ni],C4NiO4
"Nickel, Elemental",7440-02-0,[Ni],Ni
Nitric Acid,7697-37-2,[N+](=O)(O)[O-],HNO3
Nitric Oxide,10102-43-9,[N]=O,NO
