ChemicalName,MACCSKey,Relationship
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs159,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs162,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs163,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs164,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs165,hasKey
"2,4,6-Trinitrotoluene",maccs024,hasKey
"2,4,6-Trinitrotoluene",maccs049,hasKey
"2,4,6-Trinitrotoluene",maccs056,hasKey
"2,4,6-Trinitrotoluene",maccs063,hasKey
"2,4,6-Trinitrotoluene",maccs070,hasKey
"2,4,6-Trinitrotoluene",maccs071,hasKey
"2,4,6-Trinitrotoluene",maccs080,hasKey
"2,4,6-Trinitrotoluene",maccs094,hasKey
"2,4,6-Trinitrotoluene",maccs102,hasKey
"2,4,6-Trinitrotoluene",maccs119,hasKey
"2,4,6-Trinitrotoluene",maccs122,hasKey
"2,4,6-Trinitrotoluene",maccs124,hasKey
"2,4,6-Trinitrotoluene",maccs130,hasKey
"2,4,6-Trinitrotoluene",maccs133,hasKey
"2,4,6-Trinitrotoluene",maccs135,hasKey
"2,4,6-Trinitrotoluene",maccs136,hasKey
"2,4,6-Trinitrotoluene",maccs140,hasKey
"2,4,6-Trinitrotoluene",maccs142,hasKey
"2,4,6-Trinitrotoluene",maccs144,hasKey
"2,4,6-Trinitrotoluene",maccs146,hasKey
"2,4,6-Trinitrotoluene",maccs148,hasKey
"2,4,6-Trinitrotoluene",maccs150,hasKey
"2,4,6-Trinitrotoluene",maccs156,hasKey
"2,4,6-Trinitrotoluene",maccs158,hasKey
"2,4,6-Trinitrotoluene",maccs159,hasKey
"2,4,6-Trinitrotoluene",maccs160,hasKey
"2,4,6-Trinitrotoluene",maccs161,hasKey
"2,4,6-Trinitrotoluene",maccs162,hasKey
"2,4,6-Trinitrotoluene",maccs163,hasKey
"2,4,6-Trinitrotoluene",maccs164,hasKey
"2,4,6-Trinitrotoluene",maccs165,hasKey
"2,4-D",maccs072,hasKey
"2,4-D",maccs087,hasKey
"2,4-D",maccs103,hasKey
"2,4-D",maccs104,hasKey
"2,4-D",maccs107,hasKey
"2,4-D",maccs109,hasKey
"2,4-D",maccs113,hasKey
"2,4-D",maccs123,hasKey
"2,4-D",maccs126,hasKey
"2,4-D",maccs127,hasKey
"2,4-D",maccs132,hasKey
"2,4-D",maccs134,hasKey
"2,4-D",maccs139,hasKey
"2,4-D",maccs143,hasKey
"2,4-D",maccs144,hasKey
"2,4-D",maccs146,hasKey
"2,4-D",maccs150,hasKey
"2,4-D",maccs152,hasKey
"2,4-D",maccs153,hasKey
"2,4-D",maccs154,hasKey
"2,4-D",maccs155,hasKey
"2,4-D",maccs157,hasKey
"2,4-D",maccs159,hasKey
"2,4-D",maccs162,hasKey
"2,4-D",maccs163,hasKey
"2,4-D",maccs164,hasKey
"2,4-D",maccs165,hasKey
"2,4-Dinitrophenol",maccs024,hasKey
"2,4-Dinitrophenol",maccs049,hasKey
"2,4-Dinitrophenol",maccs056,hasKey
"2,4-Dinitrophenol",maccs063,hasKey
"2,4-Dinitrophenol",maccs070,hasKey
"2,4-Dinitrophenol",maccs071,hasKey
"2,4-Dinitrophenol",maccs080,hasKey
"2,4-Dinitrophenol",maccs089,hasKey
"2,4-Dinitrophenol",maccs094,hasKey
"2,4-Dinitrophenol",maccs095,hasKey
"2,4-Dinitrophenol",maccs102,hasKey
"2,4-Dinitrophenol",maccs113,hasKey
"2,4-Dinitrophenol",maccs119,hasKey
"2,4-Dinitrophenol",maccs122,hasKey
"2,4-Dinitrophenol",maccs124,hasKey
"2,4-Dinitrophenol",maccs127,hasKey
"2,4-Dinitrophenol",maccs130,hasKey
"2,4-Dinitrophenol",maccs133,hasKey
"2,4-Dinitrophenol",maccs135,hasKey
"2,4-Dinitrophenol",maccs136,hasKey
"2,4-Dinitrophenol",maccs139,hasKey
"2,4-Dinitrophenol",maccs140,hasKey
"2,4-Dinitrophenol",maccs142,hasKey
"2,4-Dinitrophenol",maccs143,hasKey
"2,4-Dinitrophenol",maccs144,hasKey
"2,4-Dinitrophenol",maccs146,hasKey
"2,4-Dinitrophenol",maccs148,hasKey
"2,4-Dinitrophenol",maccs150,hasKey
"2,4-Dinitrophenol",maccs152,hasKey
"2,4-Dinitrophenol",maccs156,hasKey
"2,4-Dinitrophenol",maccs157,hasKey
"2,4-Dinitrophenol",maccs158,hasKey
